#U fC  << this is the unit 
#             eta             phi             dep             det     cap0     cap1     cap2     cap3 widthcap0 widthcap1 widthcap2 widthcap3      DetId
               -1               1               1       CASTOR_EM 12.33181 11.86797 12.01620 12.05846 11.16609 11.18256 11.24236 11.03284   56000001
               -1               1               2       CASTOR_EM  9.61586 11.46677 11.16635 11.29800  7.89176  7.95198  7.92997  7.69942   56000002
               -1               1               3      CASTOR_HAD 10.12698 10.64858 11.01370 10.06159  8.91741  8.93694  8.89194  8.95843   56000003
               -1               1               4      CASTOR_HAD  9.85671  8.80568  9.27136  9.43937 10.99742 10.98154 10.93164 10.88052   56000004
               -1               1               5      CASTOR_HAD 10.61214 10.16678 11.39591 10.94388  7.86131  8.07913  7.95363  7.71720   56000005
               -1               1               6      CASTOR_HAD  8.39058  7.97897  9.06035  8.60360  9.87421  9.74996  9.67595  9.72183   56000006
               -1               1               7      CASTOR_HAD  9.88488 10.32740 10.61448 10.47199  9.95410  9.95788  9.92982  9.70399   56000007
               -1               1               8      CASTOR_HAD 10.51772 10.85964 11.50733 11.58592  8.78104  8.88806  8.85019  8.57497   56000008
               -1               1               9      CASTOR_HAD  9.58231 10.28334 10.61567 10.98139 10.88519 10.93088 10.90356 10.69274   56000009
               -1               1              10      CASTOR_HAD 10.22932 10.13362 10.43412 10.07140  6.68788  6.75098  6.72221  6.58141   5600000A
               -1               1              11      CASTOR_HAD 10.60901 10.22508 10.34669 11.07889  7.58525  7.77877  7.69013  7.43315   5600000B
               -1               1              12      CASTOR_HAD 10.39599 10.54021 10.64567 10.31010  7.59299  7.59701  7.63428  7.48895   5600000C
               -1               1              13      CASTOR_HAD 12.20631 12.98598 12.30999 13.16366  9.40935  9.62584  9.65222  9.55237   5600000D
               -1               1              14      CASTOR_HAD 12.15981 10.51502 10.95415 10.63643  8.24443  8.41492  8.35870  8.21312   5600000E
               -1               2               1       CASTOR_EM 11.47701 12.01274 11.68903 11.90866 11.28737 11.38513 11.32730 11.15405   56000011
               -1               2               2       CASTOR_EM  9.69083  9.59850  9.59388 10.17105  7.09438  7.09863  7.09120  7.06227   56000012
               -1               2               3      CASTOR_HAD 12.01777 10.90908 11.28498 11.78432  6.81134  7.16080  7.13703  6.79048   56000013
               -1               2               4      CASTOR_HAD 11.15862 11.27038 11.39050 11.24186  6.51572  6.80114  6.71811  6.44411   56000014
               -1               2               5      CASTOR_HAD 12.82031 13.03449 13.01013 13.13788 13.48834 13.49860 13.44936 13.39595   56000015
               -1               2               6      CASTOR_HAD 10.03292 10.20546 10.33549 10.41647  9.45215  9.53950  9.44330  9.29071   56000016
               -1               2               7      CASTOR_HAD  9.72577  9.44287  9.85305  9.77745 11.83215 11.78165 11.74178 11.70103   56000017
